1 | বিক্রিয়াকালে অম্লীয় $\text{KMnO}_4$ এর কেন্দ্রীয় পরমাণু কয়টি ইলেকট্রন গ্রহণ করে? [Chapter 3: পরিমাণগত রসায়ন] | 2 | 3 | 4 | 5 |
2 | উদ্দীপক: পাত্র-A [0.8 g, 760 mm(Hg), 500 mL] ও পাত্র-B [0.7 g, 770 mm(Hg), 600 mL] স্টপকক যুক্ত। <br>Q. উদ্দীপকের স্টপকক খুলে দিলে (A + B) মিশ্রণের মোট চাপ কত হবে? [Chapter 1: পরিবেশ রসায়ন] | 535.80 mm(Hg) | 765.45 mm(Hg) | 612.36 mm(Hg) | 1148.17 mm(Hg) |
3 | কোনটি জারণ-বিজারণ বিক্রিয়া? [Chapter 3: পরিমাণগত রসায়ন] | $\text{HCl(aq)} + \text{NaOH(aq)} \rightarrow \text{NaCl(aq)} + \text{H}_2\text{O(l)}$ | $\text{Na}_2\text{SO}_4\text{(aq)} + \text{BaCl}_2\text{(aq)} \rightarrow \text{BaSO}_4\text{(s)} + 2\text{NaCl(aq)}$ | $\text{Zn(s)} + \text{H}_2\text{SO}_4\text{(aq)} \rightarrow \text{ZnSO}_4\text{(aq)} + \text{H}_2\text{(g)}$ | $\text{AlCl}_3\text{(s)} + 3\text{H}_2\text{O(l)} \rightarrow \text{Al(OH)}_3\text{(s)} + 3\text{HCl(aq)}$ |
4 | 5% $\text{Na}_2\text{CO}_3$ এর মোলারিটি কত? [Chapter 3: পরিমাণগত রসায়ন] | 0.98 M | 0.89 M | 0.79 M | 0.471 M |
5 | কোনটি তড়িৎবিশ্লেষ্য পরিবাহী? [Chapter 4: তড়িৎ রসায়ন] | বিশুদ্ধ পানি | $\text{NaCl(s)}$ | $\text{CuSO}_4\text{(aq)}$ | 100% HCl |
6 | চাপের সাথে গ্যাসের আয়তনের পরিবর্তন হয় কোনটিতে? [Chapter 1: পরিবেশ রসায়ন] | বয়েলের সূত্র | চার্লসের সূত্র | অ্যাভোগেড্রোর সূত্র | গ্রাহামের সূত্র |
7 | কোনটি $3^\circ$ অ্যালকোহলের কার্যকরী মূলক? [Chapter 2: জৈব রসায়ন] | $-\text{COOH}$ | $>\text{CH}-\text{OH}$ | $\equiv\text{C}-\text{OH}$ | $-\text{CH}_2\text{OH}$ |
8 | সমআয়তন 1 M KOH এবং 1 M $\text{H}_2\text{SO}_4$ দ্রবণের প্রকৃতি কী হবে? [Chapter 3: পরিমাণগত রসায়ন] | ক্ষারীয় | অম্লীয় | উভধর্মী | নিরপেক্ষ |
9 | $\text{FeSO}_4$ দ্রবণের মধ্য দিয়ে 5 A বিদ্যুৎ 10 min চালনা করলে ক্যাথোডে কী পরিমাণ আয়রন জমা হবে? [Fe এর পারমাণবিক ভর 55.85] [Chapter 4: তড়িৎ রসায়ন] | 0.144 g | 0.868 g | 0.578 g | 0.404 g |
10 | প্রতিস্থাপন বিক্রিয়ায় কোন কার্যকরী মূলকটি অর্থো-প্যারা নির্দেশক? [Chapter 2: জৈব রসায়ন] | $-\text{COOH}$ | $-\text{N(CH}_3\text{)}_2$ | $-\text{CHO}$ | $-\text{NO}_2$ |
11 | 96 g $\text{O}_2$ এর জন্য আদর্শ গ্যাসের সমীকরণ কোনটি? [Chapter 1: পরিবেশ রসায়ন] | PV = nRT | PV = RT | PV = 2RT | PV = 3RT |
12 | কোনটি উর্টজ বিক্রিয়ায় সৃষ্টি হয়? [Chapter 2: জৈব রসায়ন] | অ্যালকাইল হ্যালাইড | অ্যালকাইল বেনজিন | অ্যালকোহল | উচ্চতর অ্যালকেন |
13 | 0.25 M $\text{H}_2\text{SO}_4$ এর ঘনমাত্রা ppm এককে কত হবে? [Chapter 3: পরিমাণগত রসায়ন] | 24600 | 24500 | 24400 | 24300 |
14 | কপারের তড়িৎ রাসায়নিক তুল্যাঙ্ক কত? [Chapter 4: তড়িৎ রসায়ন] | $2.9 \times 10^{-4}\text{ g C}^{-1}$ | $2.85 \times 10^{-4}\text{ g C}^{-1}$ | $3.06 \times 10^{-4}\text{ g C}^{-1}$ | $3.29 \times 10^{-4}\text{ g C}^{-1}$ |
15 | কোনটি লুইস ক্ষারক? [Chapter 1: পরিবেশ রসায়ন] | $\text{NH}_3$ | $\text{BF}_3$ | $\text{AlCl}_3$ | $\text{C}_2\text{H}_4$ |
16 | $\text{RCO}-\text{NH}_2 + \text{Br}_2 + \text{KOH} \xrightarrow{\Delta} \text{A} + \text{K}_2\text{CO}_3 + \text{KBr} + \text{H}_2\text{O}$ বিক্রিয়াটিতে A-যৌগটি কী? [Chapter 2: জৈব রসায়ন] | $1^\circ$ অ্যালকোহল | $2^\circ$ অ্যালকোহল | $1^\circ$ অ্যামিন | $2^\circ$ অ্যামিন |
17 | $\text{Fe}^{2+} + \text{Sn}^{4+} \rightleftharpoons \text{Fe}^{3+} + \text{Sn}^{2+}$ বিক্রিয়াটিতে- <br>i. $\text{Sn}^{4+}$ জারক <br>ii. $\text{Fe}^{2+}$ জারিত হয়েছে <br>iii. $\text{Sn}^{2+}$ ইলেকট্রন ত্যাগ করেছে <br>নিচের কোনটি সঠিক? [Chapter 3: পরিমাণগত রসায়ন] | i ও ii | ii ও iii | i ও iii | i, ii ও iii |
18 | 27 g Al জমা হতে কী পরিমাণ বিদ্যুৎ প্রয়োজন? [Chapter 4: তড়িৎ রসায়ন] | 27 F | 13.5 F | 3 F | 1 F |
19 | $\text{R}-\text{NH}_2 + \text{KOH} + \text{CHCl}_3 \xrightarrow{60^\circ\text{C}} \text{B}$; বিক্রিয়াটি— <br>i. কার্বিল অ্যামিন বিক্রিয়া <br>ii. অ্যারোমেটিক অ্যামিনের ক্ষেত্রেও প্রযোজ্য <br>iii. দ্বারা ক্লোরোফর্ম শনাক্ত করা যায় <br>নিচের কোনটি সঠিক? [Chapter 2: জৈব রসায়ন] | i | ii | ii ও iii | i, ii ও iii |
20 | $27^\circ\text{C}$ তাপমাত্রায় 22 g $\text{CO}_2$ এর গতিশক্তি কত জুল? [Chapter 1: পরিবেশ রসায়ন] | 1870.65 | 168.36 | 82.30 | 18.47 |
21 | পানীয় জলে WHO অনুমোদিত TDS এর সর্বোচ্চ মান কত? [Chapter 1: পরিবেশ রসায়ন] | 10 ppm | 100 ppm | 500 ppm | 6000 ppm |
22 | নিচের উদ্দীপক হতে প্রশ্নের উত্তর দাও: $\text{A} + \text{O}_3 \xrightarrow{\text{CCl}_4} \text{Q} \xrightarrow[\Delta]{\text{Zn, H}_2\text{O}} \text{X} + \text{Y}$। X-যৌগটি তিন কার্বনবিশিষ্ট এবং Y-যৌগটি এক কার্বনবিশিষ্ট। <br>Q. উদ্দীপকের A যৌগটি নিচের কোনটি? [Chapter 2: জৈব রসায়ন] | $\text{CH}_3-\text{CH}_2-\text{CH}=\text{CH}_2$ | $\text{CH}_3-\text{CH}_2-\text{C}\equiv\text{CH}$ | $\text{CH}_3\text{CH(CH}_3\text{)CH}_3$ | $\text{CH}_3-\text{CH}=\text{C(CH}_3\text{)}_2$ |
