1 | নিউক্লিক এসিডের নাইট্রোজেন ঘটিত ক্ষারক কয় প্রকার? [Chapter 1: কোষ ও এর গঠন] | ২ | ৩ | ৪ | ৫ |
2 | প্রোটিন ফ্যাক্টরি বলা হয় কোনটিকে? [Chapter 1: কোষ ও এর গঠন] | গলজিবস্তু | রাইবোজোম | লাইসোজোম | সেন্ট্রোজোম |
3 | কোনটি সেন্ট্রোমিয়ারবিহীন ক্রোমোজোম? [Chapter 1: কোষ ও এর গঠন] | টেলোসেন্ট্রিক | অ্যাক্রোসেন্ট্রিক | পলিসেন্ট্রিক | অ্যাটেলোসেন্ট্রিক |
4 | অ্যামাইটোসিস বিভাজন দেখা যায় কোন জীবে? [Chapter 2: কোষ বিভাজন] | ঈস্ট | হাইড্রা | মস | ফার্ন |
5 | কায়াজমা তৈরিতে কোন এনজাইম অংশ নেয়? [Chapter 2: কোষ বিভাজন] | লাইগেজ | পলিমারেজ | এন্ডোনিউক্লিয়েজ | হেলিকেজ |
6 | মিয়োসিস কোষ বিভাজনের বৈশিষ্ট্য কোনটি? [Chapter 2: কোষ বিভাজন] | ক্রোমোজোম একবার ও নিউক্লিয়াস দুইবার বিভাজিত হয় | মাতৃকোষ ও অপত্য কোষের ক্রোমোজোম সংখ্যা সমান থাকে | এটি দেহকোষে ঘটে | এটি সমীকরণিক বিভাজন |
7 | কোষচক্রের কোন দশায় প্রোটিন ও আরএনএ সংশ্লেষিত হয়? [Chapter 2: কোষ বিভাজন] | $\text{G}_1$ | S | $\text{G}_2$ | M |
8 | কোনটি পলিস্যাকারাইড? [Chapter 3: কোষ রসায়ন ℹ️] | গ্লুকোজ | সুক্রোজ | ফ্রুক্টোজ | স্টার্চ |
9 | এনজাইমের সাথে দৃঢ়ভাবে যুক্ত প্রস্থেটিক গ্রুপকে কী বলে? [Chapter 3: কোষ রসায়ন ℹ️] | কো-ফ্যাক্টর | কো-এনজাইম | অ্যাপোএনজাইম | প্রস্থেটিক গ্রুপ |
10 | কোনটি DNA ভাইরাস? [Chapter 4: অণুজীব] | TMV | $\text{T}_2$ ফাজ | পোলিও ভাইরাস | ইনফ্লুয়েঞ্জা |
11 | ব্যাকটেরিয়া কোষে নিচের কোনটি অনুপস্থিত? [Chapter 4: অণুজীব] | মেসোসোম | রাইবোজোম | প্লাজমিড | মাইটোকন্ড্রিয়া |
12 | শৈবালের সঞ্চিত খাদ্য প্রধানত কী? [Chapter 5: শৈবাল ও ছত্রাক ℹ️] | গ্লাইকোজেন | স্টার্চ | তেলবিন্দু | চর্বি |
13 | Riccia-এর মূলের পরিবর্তে কোনটি থাকে? [Chapter 6: ব্রায়োফাইটা ও টেরিডোফাইটা ℹ️] | স্কেল | রাইজয়েড | ক্যাপসুল | সিটা |
14 | Cycas উদ্ভিদের কোরালয়েড মূলের ভিতরে বাস করে কোন অণুজীব? [Chapter 7: নগ্নবীজী ও আবৃতবীজী উদ্ভিদ] | Nostoc | Rhizobium | Azotobacter | Clostridium |
15 | Malvaceae গোত্রের পুংকেশরীয় নালিকা গর্ভদণ্ডের চারদিকে কীভাবে অবস্থান করে? [Chapter 7: নগ্নবীজী ও আবৃতবীজী উদ্ভিদ] | মুক্তভাবে | বেষ্টন করে | নিচে | ওপরে |
16 | একবীজপত্রী মূলের ভাস্কুলার বান্ডলের সংখ্যা সাধারণত কত? [Chapter 8: টিস্যু ও টিস্যুতন্ত্র] | ২-৪টি | ৪টির কম | ৬-এর অধিক | সর্বদা ৪টি |
17 | পানি পত্ররন্ধ্র দিয়ে তরল পানি নির্গমন প্রক্রিয়াকে কী বলে? [Chapter 9 : উদ্ভিদ শারীরতত্ত্ব] | প্রস্বেদন | বাষ্পীভবন | গাটেশন | ব্যাপন |
18 | অবাত শ্বসনে কয় অণু $\text{ATP}$ উৎপন্ন হয়? [Chapter 9 : উদ্ভিদ শারীরতত্ত্ব] | ২ | ৩৮ | ৩৬ | ৮ |
19 | উদ্দীপকে দুটি উদ্ভিদ প্রদর্শিত হলো: চিত্র-A (জলজ ভাসমান উদ্ভিদ শাপলা/পদ্ম) এবং চিত্র-B (মরুজ ক্যাকটাস/ফণীমনসা)। <br>উদ্দীপকের A উদ্ভিদের (জলজ উদ্ভিদ) বৈশিষ্ট্য কোনটি? [Chapter 12: জীবের পরিবেশ, বিস্তার ও সংরক্ষণ ℹ️] | কাণ্ড ও পাতায় বায়ু কুঠুরী থাকে | মূল মাটির খুব গভীরে প্রবেশ করে | মূল ও কাণ্ড দৃঢ় হয় | পরিবহন টিস্যু সুগঠিত |
20 | $\text{T}_2$ ব্যাকটিরিওফাজের লেজে কোন এনজাইম থাকে? [Chapter 4: অণুজীব] | লাইসোজাইম | পেপসিন | ট্রিপসিন | অ্যামাইলেজ |
21 | উদ্ভিদের শাখা কলমের ক্ষেত্রে শিকড় গজাতে সাহায্য করে কোনটি? [Chapter 10: উদ্ভিদ প্রজনন ℹ️] | IAA | ABA | GA | কাইনিন |
22 | রিকম্বিনেন্ট DNA তৈরিতে আণবিক কাঁচি কোনটি? [Chapter 11: জীবপ্রযুক্তি] | রেস্ট্রিকশন এনজাইম | লাইগেজ | পলিমারেজ | রিভার্স ট্রান্সক্রিপ্টেজ |
23 | অবাত শ্বসনের অ্যালকোহল সন্ধান প্রক্রিয়ায়— $\text{C}_6\text{H}_{12}\text{O}_6 \rightarrow 2\text{C}_2\text{H}_5\text{OH} + 2\text{CO}_2$। <br>উদ্দীপকের প্রক্রিয়াটি থেকে কোনটি পাওয়া যায়? [Chapter 10: উদ্ভিদ প্রজনন ℹ️] | কার্বন ডাই অক্সাইড | পানি | অক্সিজেন | নাইট্রোজেন |
24 | ইনসুলিনের দুটি শৃঙ্খল কী দ্বারা যুক্ত থাকে? [Chapter 11: জীবপ্রযুক্তি] | হাইড্রোজেন বন্ধন | ডাইসালফাইড বন্ধন | পেপটাইড বন্ধন | গ্লাইকোসাইডিক বন্ধন |
25 | সালোকসংশ্লেষণের আলোক পর্যায়ে পানির ভাঙনকে কী বলে? [Chapter 9 : উদ্ভিদ শারীরতত্ত্ব] | হাইড্রোলাইসিস | ফটোলাইসিস | গ্লাইকোলাইসিস | ফটোফসফোরাইলেশন |
